,,,,,,,,,,,,
Theme,Subtheme,Set #,Set Name,Age,Piece Count,Retirement Date,LEGO.com Link,,,,,"Notes: (Exclusivity, release, etc.)"
Disney,-,43244,Elsa's Ice Palace,6+,630,"Jul 31, 2026",US,CA,UK,AU,MX,
Disney,-,43247,Young Simba The Lion King,18+,1445,"Jul 31, 2026",US,CA,UK,AU,MX,
Disney,-,43266,Cinderella's Dress,9+,474,"Jul 31, 2026",US,CA,UK,AU,MX,
Disney,-,43274,Minnie's Pet Hotel,,,"Jul 31, 2026",US,CA,UK,AU,MX,
Disney,-,30720,Ariel and Flounder’s Birthday Music Fun (Polybag),5+,39,"Dec 31, 2026",n/a,n/a,n/a,n/a,n/a,
Disney,-,40708,Mini Disney Ariel's Castle,12+,557,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Disney,- ,43217,'Up' House,9+,598,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,-,43258,Kakamora Barge,7+,572,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,-,43260,Moana's Island Fun,5+,175,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,-,43262,Maleficent's and Cruella De Vil's Dresses,9+,524,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,-,43263,Beauty and the Beast Castle,18+,2916,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,-,43264,Toy Story Celebration Train & RC Car,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,-,43265,Arendelle Frozen Castle,5+,177,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,-,43267,Princess Castle & Royal Pets,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,-,43268,Lilo and Stitch Beach House,9+,834,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,-,43270,Moana Adventure Canoe,6+,529,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,-,43272,Heihei,9+,566,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,Villains,43277,Cruella De Vil's Car,9+,378,"Dec 31, 2026",US,CA,UK,AU,MX,(US) TBA exclusive
Disney,-,43278,Mini Arendelle Castle & Elsa's Ice Palace,,,"Dec 31, 2026",US,CA,UK,AU,MX,(US) Exclusive to Walmart
Disney,-,43284,Mini Anna & Elsa,5+,65,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,-,43285,Ariel's Magical Mini Palace,5+,179,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,-,43291,Mini Belle & Tiana with Castle,5+,358,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,-,43303,Mini Jasmine & Rapunzel,5+,59,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,Holiday,43298,LEGO Disney Advent Calendar 2026,,290,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,-,43249,Stitch,9+,730,"Jul 31, 2027",US,CA,UK,AU,MX,
Disney,-,43269,101 Dalmatians Puppy,18+,1722,"Jul 31, 2027",US,CA,UK,AU,MX,
Disney,-,43271,Lucky & Penny 101 Dalmatians Puppies,6+,268,"Jul 31, 2027",US,CA,UK,AU,MX,
Disney,-,43288,Sally's Flowerpot,9+,346,"Jul 31, 2027",US,CA,UK,AU,MX,
Disney,-,43282,Village House & Boat,4+,85,"Jul 31, 2027",US,CA,UK,AU,MX,
Disney,Buildable Figure,43293,Kakamora,,407,"Jul 31, 2027",US,CA,UK,AU,MX,
Disney,-,43294,Rapunzel's Mini Tower,,171,"Jul 31, 2027",US,CA,UK,AU,MX,
Disney,- ,40478,Mini Disney Castle,12+,567,"Dec 31, 2027",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Disney,-,43257,Angel,9+,784,"Dec 31, 2027",US,CA,UK,AU,MX,
Disney,-,43279,WALL-E and EVE,18+,811,"Dec 31, 2027",US,CA,UK,AU,MX,
Disney,-,43281,Elsa's Ice Castle and Snow Ride Adventure,4+,216,"Dec 31, 2027",US,CA,UK,AU,MX,
Disney,-,43286,The Aristocats Adorable Marie,7+,369,"Dec 31, 2027",US,CA,UK,AU,MX,
Disney,-,43287,Olaf and Bruni's Picnic Fun,7+,478,"Dec 31, 2027",US,CA,UK,AU,MX,
Disney,-,43290,Kevin & Dug,9+,628,"Dec 31, 2027",US,CA,UK,AU,MX,
Disney,-,43300,Winnie the Pooh,18+,1399,"Dec 31, 2027",US,CA,UK,AU,MX,
Disney,-,43301,Toy Story Slinky Dog Bookends,18+,1311,"Dec 31, 2027",US,CA,UK,AU,MX,
Disney,-,43305,Piglet's Birthday Fun,9+,885,"Dec 31, 2027",US,CA,UK,AU,MX,
Disney,-,43306,Lotso,9+,570,"Dec 31, 2027",US,CA,UK,AU,MX,
Disney,-,43307,Alien with Pizza Planet Rocket Ride,9+,714,"Dec 31, 2027",US,CA,UK,AU,MX,
Disney,-,43280,Beach Fun with Lilo & Stitch,4+,113,"Dec 31, 2027",US,CA,UK,AU,MX,
Disney,-,43283,Cinderella Animal Friends Castle,4+,149,"Dec 31, 2027",US,CA,UK,AU,MX,
Disney,-,43289,Belle & the Beast's Enchanted Castle,,254,"Dec 31, 2027",US,CA,UK,AU,MX,
Disney,Buildable Figure,43292,Pua,,885,"Dec 31, 2027",US,CA,UK,AU,MX,
Disney,-,43295,Jasmine's Jewellery Box,,458,"Dec 31, 2027",US,CA,UK,AU,MX,
Disney,Buildable Figure,43296,Stitch & Scrump,,713,"Dec 31, 2027",US,CA,UK,AU,MX,
Disney,-,43297,Rapunzel's Castle,,676,"Dec 31, 2027",US,CA,UK,AU,MX,
Disney,-,43299,Ariel's Royal Wedding Boat,,519,"Dec 31, 2027",US,CA,UK,AU,MX,
Disney,-,43302,"Main Street, U.S.A.",18+,3899,"Dec 31, 2027",US,CA,UK,AU,MX,
Disney,-,43304,Blaze's Horse Ranch,4+,209,"Dec 31, 2027",US,CA,UK,AU,MX,
DREAMZzz,-,71494,Zoey's Time Owl,,,"Jul 31, 2026",US,CA,UK,AU,MX,
DREAMZzz,-,71495,Mateo vs. Cyber Brain Mech,,,"Jul 31, 2026",US,CA,UK,AU,MX,
DREAMZzz,-,71492,Mateo's Fire Chameleon,7+,443,"Dec 31, 2026",US,CA,UK,AU,MX,
DREAMZzz,-,71499,Mateo's Spray Paint Truck,9+,929,"Dec 31, 2026",US,CA,UK,AU,MX,
DREAMZzz,-,71500,Nightmare Shark Submarine,9+,1413,"Dec 31, 2026",US,CA,UK,AU,MX,
DREAMZzz,-,71508,Fox Guardian Mech,9+,883,"Dec 31, 2026",US,CA,UK,AU,MX,
DREAMZzz,-,71512,Crocodile Submarine,8+,1107,"Dec 31, 2026",US,CA,UK,AU,MX,
DREAMZzz,-,71513,Nightmare Scorpion Digger,7+,505,"Dec 31, 2026",US,CA,UK,AU,MX,
DREAMZzz,-,71514,Dino Jet,9+,1007,"Dec 31, 2026",US,CA,UK,AU,MX,
DREAMZzz,-,71515,Tiger Shark Tank,9+,1548,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,-,10416,Caring for Animals at the Farm,2+,74,"Jul 31, 2026",US,CA,UK,AU,MX,
Duplo,-,10440,Balancing & Stacking Tree,1½+,27,"Jul 31, 2026",US,CA,UK,AU,MX,
Duplo,Disney,10454,Mickey Mouse Clubhouse & Car ,2+,27,"Jul 31, 2026",US,CA,UK,AU,MX,
Duplo,Disney,10457,Winnie the Pooh's Birthday Party,1½+,22,"Jul 31, 2026",US,CA,UK,AU,MX,
Duplo,-,10412,Animal Train,1½+,19,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,-,10441,Shape Sorter: Puppy House,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,-,10442,Wild Animal Families: Penguins & Lions,2+,10,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,-,10443,First Time at the Airport,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,-,10444,Creative Garden & Flowers,2+,45,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,Formula 1,10445,F1® Team Race Cars & Drivers,2+,70,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,-,10446,3in1 Wild Animal Families,2+,92,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,-,10448,3in1 Animals on Wheels,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,-,10450,Hopsy's Castle Game,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,-,10451,3in1 Dinosaurs on Wheels,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,Peppa Pig,10452,Camping Trip,2+,32,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,Peppa Pig,10453,Funfair,2+,53,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,Disney,10455,Anna and Elsa's Frozen Castle Party,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,Disney,10456,McQueen's Visit to Doc's Garage,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,Bluey,10458,Ice Cream Trip with Bluey,2+,22,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,Bluey,10459,Bluey's Family House with Memory Game,3+,83,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,-,10461,Grandpa Pig's Garden and Greenhouse,,,"Dec 31, 2026",US,CA,UK,AU,MX,(US) Exclusive to Barnes and Noble
Duplo,-,10421,Alphabet Truck,2+,36,"Jul 31, 2027",US,CA,UK,AU,MX,
Duplo,-,10425,Train Tunnel and Tracks Expansion Set,2+,20,"Jul 31, 2027",US,CA,UK,AU,MX,
Duplo,Peppa Pig,10466,Train Ride with Grandpa Pig,2+,35,"Jul 31, 2027",US,CA,UK,AU,MX,
Duplo,-,10480,Discovery Forest with Wild Animals,3+,131,"Jul 31, 2027",US,CA,UK,AU,MX,
Duplo,Marvel,10463,Dinosaur Spidey-Rex vs. Green Goblin,2+,25,"Dec 31, 2027",US,CA,UK,AU,MX,
Duplo,Disney,10465,Mickey Mouse Clubhouse with Minnie & Pluto,2+,87,"Dec 31, 2027",US,CA,UK,AU,MX,
Duplo,Peppa Pig,10467,Family House,2+,84,"Dec 31, 2027",US,CA,UK,AU,MX,
Duplo,Peppa Pig,10468,Tractor and Market,2+,18,"Dec 31, 2027",US,CA,UK,AU,MX,
Duplo,-,10470,Modern Family House with Figures,2+,166,"Dec 31, 2027",US,CA,UK,AU,MX,
Duplo,-,10471,Blue Police Motorcycle,2+,11,"Dec 31, 2027",US,CA,UK,AU,MX,
Duplo,-,10476,3 in 1 Construction Site and Vehicles,3+,84,"Dec 31, 2027",US,CA,UK,AU,MX,
Duplo,-,10478,3 in 1 Creative Ramps with Vehicles,3+,111,"Dec 31, 2027",US,CA,UK,AU,MX,
Duplo,-,30712,Celebration Cake (Polybag),1.5+,9,"Dec 31, 2027",n/a,n/a,n/a,n/a,n/a,
Duplo,Disney,10462,Frozen Creative Box with Elsa and Olaf,2+,37,"Dec 31, 2027",US,CA,UK,AU,MX,
Duplo,Marvel,10464,Team Spidey Webquarters,2+,65,"Dec 31, 2027",US,CA,UK,AU,MX,
Duplo,Bluey,10469,Pizza Girls with Muffin and Bluey,2+,44,"Dec 31, 2027",US,CA,UK,AU,MX,
Duplo,-,10472,Animal Building Game,3+,94,"Dec 31, 2027",US,CA,UK,AU,MX,
Duplo,-,10447,Ambulance & Driver,2+,19,"Jul 31, 2028",US,CA,UK,AU,MX,
Duplo,-,10426,Train Bridge and Tracks Expansion Set,2+,42,"Dec 31, 2029",US,CA,UK,AU,MX,
Duplo,Baseplate,10460,Green Building Plate,1½+,1,"Dec 31, 2029",US,CA,UK,AU,MX,
Duplo,-,10427,Interactive Adventure Train,2+,57,"Dec 31, 2030",US,CA,UK,AU,MX,
Duplo,-,10428,Big Interactive Community Train,3+,103,"Dec 31, 2030",US,CA,UK,AU,MX,
Duplo,-,10473,Fire Truck with Hose and Firefighter,2+,28,"Dec 31, 2030",US,CA,UK,AU,MX,
Duplo,-,10474,Creative Vehicles,1.5+,42,"Dec 31, 2030",US,CA,UK,AU,MX,
Duplo,-,10475,3 in 1 Construction Vehicles,2+,22,"Dec 31, 2030",US,CA,UK,AU,MX,
Duplo,-,10477,3 in 1 Creative Cute Pets,1.5+,24,"Dec 31, 2030",US,CA,UK,AU,MX,
Duplo,- ,10913,Brick Box,1½+,65,"Dec 31, 2030",US,CA,UK,AU,MX,
Duplo,- ,10914,Deluxe Brick Box,1½+,85,"Dec 31, 2030",US,CA,UK,AU,MX,
Duplo,Disney,10941,Mickey & Minnie Birthday Train,2+,22,"Dec 31, 2030",US,CA,UK,AU,MX,
Duplo,- ,10954,Number Train - Learn To Count,1½+,23,"Dec 31, 2030",US,CA,UK,AU,MX,
Duplo,-,10479,Colourful Creative Box,1½+,80,"Dec 31, 2030",US,CA,UK,AU,MX,
Editions,Football,43033,2026 U.S. Soccer National Team Jersey,10+,167,"Dec 31, 2026",US,CA,UK,AU,MX,
Editions,Football,66818,Lionel Messi – Collector's Set,12+,1458,"Dec 31, 2026",US,CA,UK,AU,MX,Combo of 43011 + 43015
Editions,Football,66818,Cristiano Ronaldo – Collector's Set,12+,1344,"Dec 31, 2026",US,CA,UK,AU,MX,Combo of 43012 + 43016
Editions,Football,43032,FIFA World Cup 2026 Official Emblem,10+,298,"Jul 31, 2027",US,CA,UK,AU,MX,
Editions,Football,43011,Lionel Messi – Soccer Highlights,10+,500,"Dec 31, 2028",US,CA,UK,AU,MX,
Editions,Football,43012,Cristiano Ronaldo – Soccer Highlights,10+,490,"Dec 31, 2028",US,CA,UK,AU,MX,
Editions,Football,43013,Kylian Mbappé – Soccer Highlights,10+,490,"Dec 31, 2028",US,CA,UK,AU,MX,
Editions,Formula 1,43014,Scuderia Ferrari HP Charles Leclerc Helmet,14+,886,"Dec 31, 2028",US,CA,UK,AU,MX,
Editions,Football,43015,Lionel Messi – Soccer Legend,12+,958,"Dec 31, 2028",US,CA,UK,AU,MX,
Editions,Football,43016,Cristiano Ronaldo – Soccer Legend,12+,854,"Dec 31, 2028",US,CA,UK,AU,MX,
Editions,Football,43018,Lionel Messi – Celebration,14+,1427,"Dec 31, 2028",US,CA,UK,AU,MX,
Editions,Football,43020,FIFA World Cup Official Trophy,12+,2842,"Dec 31, 2028",US,CA,UK,AU,MX,
Editions,Formula 1,43022,Scuderia Ferrari HP Lewis Hamilton Helmet,14+,884,"Dec 31, 2028",US,CA,UK,AU,MX,
Editions,Football,43027,Vini Jr. – Soccer Highlights,10+,510,"Dec 31, 2028",US,CA,UK,AU,MX,
Editions,Formula 1,43017,McLaren Mastercard F1 Team Oscar Piastri Helmet,14+,793,"Dec 31, 2028",US,CA,UK,AU,MX,
Editions,Football,43019,Soccer Ball,10+,1498,"Dec 31, 2028",US,CA,UK,AU,MX,
Editions,Formula 1,43023,McLaren Mastercard F1 Team Lando Norris Helmet,14+,793,"Dec 31, 2028",US,CA,UK,AU,MX,
Education,-,45200,Moon Mission Science Kit,8+,519,"Dec 31, 2029",US,CA,UK,AU,MX,
Education,-,45201,Antarctic Animals Science Kit,7+,461,"Dec 31, 2029",US,CA,UK,AU,MX,
Education,-,45202,Mars Mission Science Kit,6+,42,"Dec 31, 2029",US,CA,UK,AU,MX,
Education,-,45203,Arctic Animals Science Kit,7+,31,"Dec 31, 2029",US,CA,UK,AU,MX,
Family,-,41843,Family Christmas Tree,9+,3171,"Dec 31, 2026",US,CA,UK,AU,MX,
Fortnite,-,77075,Peely & Sparkplug's Camp,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Fortnite,-,77076,Durrr Burger Restaurant,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Fortnite,-,77077,Klombo,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Fortnite,-,77078,Mecha Team Leader,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Fortnite,-,77071,Supply Llama,12+,691,"Dec 31, 2027",US,CA,UK,AU,MX,
Fortnite,-,77073,Battle Bus,10+,954,"Dec 31, 2027",US,CA,UK,AU,MX,
Fortnite,-,77079,Tomatohead,,210,"Dec 31, 2027",US,CA,UK,AU,MX,
Fortnite,-,77080,Supply Drop,,314,"Dec 31, 2027",US,CA,UK,AU,MX,
Fortnite,Buildable Figure,77081,KIT,,1230,"Dec 31, 2027",US,CA,UK,AU,MX,
Fortnite,-,77082,Rave Cave,,1963,"Dec 31, 2027",US,CA,UK,AU,MX,
Friends,-,42642,Friendship Movie Night,,,"Jul 31, 2026",US,CA,UK,AU,MX,
Friends,-,42647,Paisley's Room,6+,199,"Jul 31, 2026",US,CA,UK,AU,MX,
Friends,-,42653,Music Shop & Apartment,,,"Jul 31, 2026",US,CA,UK,AU,MX,
Friends,-,42654,Pony Ranch & Stable,,,"Jul 31, 2026",US,CA,UK,AU,MX,
Friends,-,42658,Unicorn & Flamingo Pool Party,,,"Jul 31, 2026",US,CA,UK,AU,MX,
Friends,-,42670,Heartlake City Residential and Shopping Street,12+,2040,"Jul 31, 2026",US,CA,UK,AU,MX,
Friends,-,30721,Flower Stand with Roses (Polybag),5+,55,"Dec 31, 2026",n/a,n/a,n/a,n/a,n/a,
Friends,-,30722,Garden Bunny House (Polybag),5+,46,"Dec 31, 2026",n/a,n/a,n/a,n/a,n/a,
Friends,-,42644,Heartlake City Ice Cream Shop,4+,92,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42648,Panda Sanctuary,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42649,Heartlake City Sweet Shop,6+,376,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42650,Pet Accessories Shop,6+,375,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42659,Friendship Road-Trip Travel Car,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42661,Costume Party,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42663,Friendship Camper Van Adventure,7+,778,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42664,Travel Boat Adventure,8+,685,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42665,Puppy Playground,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42666,Cat Birthday Party,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42671,Plant Café & Flower Shop,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42673,Family Holiday Beach Resort,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42674,Comic Book and Game Shop,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42677,Dog Treats Bakery,6+,278,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42678,Pet Accessories Van,6+,237,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42679,Heartlake City Bunny Hotel,5+,161,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42680,Heartlake City Mini Supermarket,5+,176,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42685,Heartlake City Fashion Show,7+,410,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42686,Fun Indoor Playground,7+,668,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42689,Heartlake City Friends Club House,8+,794,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42692,Ice Cream & Balloon Stand,6+,107,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42695,Horse & Baby Foal Trailer,7+,279,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42699,Beach House with Seals,7+,400,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,Holiday,42698,LEGO Friends Advent Calendar 2026,,211,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42682,Nature Glamping Cabin,,295,"Jul 31, 2027",US,CA,UK,AU,MX,
Friends,-,42690,Forest Tea Party,,116,"Jul 31, 2027",US,CA,UK,AU,MX,
Friends,-,42693,Creative Flower Shop,,377,"Jul 31, 2027",US,CA,UK,AU,MX,
Friends,-,42694,Pizza Truck,,190,"Jul 31, 2027",US,CA,UK,AU,MX,
Friends,-,42701,Koala Habitat & Care Centre,,521,"Jul 31, 2027",US,CA,UK,AU,MX,
Friends,-,42705,Cosy Autumn Forest Cabin,,1229,"Jul 31, 2027",US,CA,UK,AU,MX,
Friends,-,42675,Unicorn Cake Delivery Car,4+,67,"Dec 31, 2027",US,CA,UK,AU,MX,
Friends,-,42681,Axolotl Adventure Boat,5+,95,"Dec 31, 2027",US,CA,UK,AU,MX,
Friends,-,42684,Unicorn Dream Café,6+,475,"Dec 31, 2027",US,CA,UK,AU,MX,
Friends,-,42687,Liann's Family House,7+,946,"Dec 31, 2027",US,CA,UK,AU,MX,
Friends,-,42688,Horse Stable and Riding Academy,7+,735,"Dec 31, 2027",US,CA,UK,AU,MX,
Friends,-,42691,Garden Restaurant,12+,1465,"Dec 31, 2027",US,CA,UK,AU,MX,
Friends,-,42676,Fun Water Park Day,,278,"Dec 31, 2027",US,CA,UK,AU,MX,
Friends,-,42697,Creative Dollhouse Suitcase,,355,"Dec 31, 2027",US,CA,UK,AU,MX,
Friends,-,42700,Candy & Cupcake Ferris Wheel,,602,"Dec 31, 2027",US,CA,UK,AU,MX,
Friends,-,42702,Spinning Flower and Fairy Teacup Ride,,321,"Dec 31, 2027",US,CA,UK,AU,MX,
Friends,-,42703,Mermaid Roller Coaster Ride,,864,"Dec 31, 2027",US,CA,UK,AU,MX,
Friends,-,42704,Heartlake City Grand Hotel,,1406,"Dec 31, 2027",US,CA,UK,AU,MX,
Friends,-,42652,Friendship Tree House Hangout,8+,701,"Dec 31, 2028",US,CA,UK,AU,MX,
Friends,-,42696,Animal Vet Clinic,4+,141,"Dec 31, 2030",US,CA,UK,AU,MX,
Gabby's Dollhouse,-,11204,Mermaid Gabby's Aquarium Adventure,4+,103,"Jul 31, 2026",US,CA,UK,AU,MX,
Gabby's Dollhouse,- ,11205,Sweet Treat Mountain & Kitty Garden,4+,263,"Jul 31, 2026",US,CA,UK,AU,MX,
Gabby's Dollhouse,-,11215,Gabby's Brick-Built Cat Friends,6+,324,"Jul 31, 2027",US,CA,UK,AU,MX,
Gabby's Dollhouse,-,11214,Fairy Roller Coaster and Tea Party,4+,137,"Jul 31, 2027",US,CA,UK,AU,MX,
Gabby's Dollhouse,-,11212,Kitty Fairy's Garden House,4+,103,"Dec 31, 2027",US,CA,UK,AU,MX,
Gabby's Dollhouse,- ,10788,Gabby's Dollhouse,4+,498,"Dec 31, 2028",US,CA,UK,AU,MX,
Harry Potter,- ,76417,Gringotts Wizarding Bank - Collectors' Edition,18+,4801,"Jul 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Harry Potter,-,76425,Hedwig at 4 Privet Drive,7+,337,"Jul 31, 2026",US,CA,UK,AU,MX,
Harry Potter,-,76429,Talking Sorting Hat,18+,561,"Jul 31, 2026",US,CA,UK,AU,MX,
Harry Potter,-,76435,Hogwarts Castle: The Great Hall,10+,1732,"Jul 31, 2026",US,CA,UK,AU,MX,
Harry Potter,-,76443,Hagrid & Harry's Motorcycle Ride,9+,617,"Jul 31, 2026",US,CA,UK,AU,MX,
Harry Potter,-,76448,Fawkes: Dumbledore's Phoenix,,,"Jul 31, 2026",US,CA,UK,AU,MX,
Harry Potter,-,76453,Malfoy Manor,10+,1601,"Jul 31, 2026",US,CA,UK,AU,MX,
Harry Potter,-,30724,Dumbledore's Office with Harry Potter (Polybag),6+,42,"Dec 31, 2026",n/a,n/a,n/a,n/a,n/a,
Harry Potter,-,76437,The Burrow: Collectors' Edition,18+,2405,"Dec 31, 2026",US,CA,UK,AU,MX,
Harry Potter,-,76442,Hogwarts Castle: Charms Class,8+,204,"Dec 31, 2026",US,CA,UK,AU,MX,
Harry Potter,-,76445,Hogwarts Castle: Herbology Class,8+,390,"Dec 31, 2026",US,CA,UK,AU,MX,
Harry Potter,-,76447,Hogwarts Castle: Flying Lessons,9+,651,"Dec 31, 2026",US,CA,UK,AU,MX,
Harry Potter,-,76449,Chomping Monster Book of Monsters,9+,518,"Dec 31, 2026",US,CA,UK,AU,MX,
Harry Potter,Book Nook,76450,Book Nook: Hogwarts Express,10+,832,"Dec 31, 2026",US,CA,UK,AU,MX,
Harry Potter,-,76451,Privet Drive: Aunt Marge's Visit,8+,639,"Dec 31, 2026",US,CA,UK,AU,MX,
Harry Potter,-,76452,Quality Quidditch Supplies & Ice Cream Parlour,8+,795,"Dec 31, 2026",US,CA,UK,AU,MX,
Harry Potter,-,76458,Thestral Family,,,"Dec 31, 2026",US,CA,UK,AU,MX,(US) Exclusive to Amazon
Harry Potter,-,76467,Luna Lovegood's House,10+,764,"Dec 31, 2026",US,CA,UK,AU,MX,
Harry Potter,-,76470,Enchanted Flying Ford Anglia,14+,868,"Dec 31, 2026",US,CA,UK,AU,MX,
Harry Potter,-,76424,Flying Ford Anglia,7+,165,"Jul 31, 2027",US,CA,UK,AU,MX,
Harry Potter,-,76454,Hogwarts Castle: The Main Tower,10+,2135,"Jul 31, 2027",US,CA,UK,AU,MX,
Harry Potter,-,76461,Cornish Pixie,8+,320,"Jul 31, 2027",US,CA,UK,AU,MX,
Harry Potter,-,76471,Knockturn Alley Wizarding Shops,,788,"Jul 31, 2027",US,CA,UK,AU,MX,
Harry Potter,-,76475,Forbidden Forest: Expecto Patronum,,244,"Jul 31, 2027",US,CA,UK,AU,MX,
Harry Potter,- ,71043,Hogwarts Castle,16+,6020,"Dec 31, 2027",US,CA,UK,AU,MX,
Harry Potter,- ,76419,Hogwarts Castle and Grounds,18+,2660,"Dec 31, 2027",US,CA,UK,AU,MX,
Harry Potter,-,76444,Diagon Alley Wizarding Shops,18+,2750,"Dec 31, 2027",US,CA,UK,AU,MX,
Harry Potter,-,76446,Knight Bus Adventure,8+,499,"Dec 31, 2027",US,CA,UK,AU,MX,
Harry Potter,-,76457,Hogsmeade Village - Collector's Edition,18+,3228,"Dec 31, 2027",US,CA,UK,AU,MX,
Harry Potter,-,76459,Hagrid & Harry's Privet Drive Escape,8+,124,"Dec 31, 2027",US,CA,UK,AU,MX,
Harry Potter,-,76460,Hogwarts Castle: Sorting Hat Ceremony,7+,124,"Dec 31, 2027",US,CA,UK,AU,MX,
Harry Potter,-,76463,Hogwarts Castle: Hospital Wing,9+,907,"Dec 31, 2027",US,CA,UK,AU,MX,
Harry Potter,-,76464,Cauldron: Secret Potions Classroom,10+,652,"Dec 31, 2027",US,CA,UK,AU,MX,
Harry Potter,-,76466,Philosopher's Stone - Collectors' Edition,18+,1571,"Dec 31, 2027",US,CA,UK,AU,MX,
Harry Potter,-,76462,Hogwarts House Crest,,545,"Dec 31, 2027",US,CA,UK,AU,MX,
Harry Potter,Buildable Figure,76469,Dobby the Free Elf,,379,"Dec 31, 2027",US,CA,UK,AU,MX,
Harry Potter,-,76473,Hogwarts Castle: East Wing,,2164,"Dec 31, 2027",US,CA,UK,AU,MX,
Harry Potter,-,76474,Hogwarts Herbology Plants,,817,"Dec 31, 2027",US,CA,UK,AU,MX,
Harry Potter,Buildable Figure,76477,Norbert: Hagrid's Baby Dragon,,482,"Dec 31, 2027",US,CA,UK,AU,MX,
Harry Potter,Book Nook,76478,Book Nook: Dumbledore's Office,,1182,"Dec 31, 2027",US,CA,UK,AU,MX,
Horizon,-,77037,Aloy & Varl vs. Shell-Walker & Sawtooth,9+,768,"Dec 31, 2026",US,CA,UK,AU,MX,
Icons,Botanical Collection,10280,Flower Bouquet,18+,756,"Jul 31, 2026",US,CA,UK,AU,MX,
Icons,Transformers,10302,Optimus Prime,18+,1508,"Jul 31, 2026",US,CA,UK,AU,MX,
Icons,- ,10323,PAC-MAN Arcade,18+,2651,"Jul 31, 2026",US,CA,UK,AU,MX,
